PassengerId,Age,Fare,Embarked,passenger_sex,Familia,Solo,GrupoFam,CabinGroup,AgeGroup,Cabin_H,Cabin_L,Cabin_M,Cabin_X,passenger_class_Lower,passenger_class_Middle,passenger_class_Upper
416,28.0,8.05,2,0,1,1,1.0,3,2.0,0,0,0,1,1,0,0
714,29.0,9.4833,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
860,28.0,7.2292,1,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
608,27.0,30.5,2,1,1,1,1.0,3,2.0,0,0,0,1,0,0,1
78,28.0,8.05,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
505,16.0,86.5,2,0,1,1,1.0,0,1.0,1,0,0,0,0,0,1
725,27.0,53.1,2,1,2,0,2.0,0,2.0,1,0,0,0,0,0,1
73,21.0,73.5,2,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
881,25.0,26.0,2,0,2,0,2.0,3,2.0,0,0,0,1,0,1,0
839,32.0,56.4958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
738,35.0,512.3292,1,1,1,1,1.0,0,2.0,1,0,0,0,0,0,1
707,45.0,13.5,2,0,1,1,1.0,3,3.0,0,0,0,1,0,1,0
693,28.0,56.4958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
120,2.0,31.275,2,0,7,0,3.0,3,1.0,0,0,0,1,1,0,0
802,31.0,26.25,2,0,3,0,3.0,3,2.0,0,0,0,1,0,1,0
789,1.0,20.575,2,1,4,0,3.0,3,1.0,0,0,0,1,1,0,0
404,28.0,15.85,2,1,2,0,2.0,3,2.0,0,0,0,1,1,0,0
356,28.0,9.5,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
528,28.0,221.7792,2,1,1,1,1.0,1,2.0,0,0,1,0,0,0,1
563,28.0,13.5,2,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
165,1.0,39.6875,2,1,6,0,3.0,3,1.0,0,0,0,1,1,0,0
840,28.0,29.7,1,1,1,1,1.0,1,2.0,0,0,1,0,0,0,1
681,28.0,8.1375,3,0,1,1,1.0,3,2.0,0,0,0,1,1,0,0
668,28.0,7.775,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
89,23.0,263.0,2,0,6,0,3.0,1,2.0,0,0,1,0,0,0,1
213,22.0,7.25,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
140,24.0,79.2,1,1,1,1,1.0,0,2.0,1,0,0,0,0,0,1
549,33.0,20.525,2,1,3,0,3.0,3,2.0,0,0,0,1,1,0,0
499,25.0,151.55,2,0,4,0,3.0,1,2.0,0,0,1,0,0,0,1
407,51.0,7.75,2,1,1,1,1.0,3,3.0,0,0,0,1,1,0,0
205,18.0,8.05,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
574,28.0,7.75,3,0,1,1,1.0,3,2.0,0,0,0,1,1,0,0
477,34.0,21.0,2,1,2,0,2.0,3,2.0,0,0,0,1,0,1,0
616,24.0,65.0,2,0,4,0,3.0,3,2.0,0,0,0,1,0,1,0
821,52.0,93.5,2,0,3,0,3.0,0,3.0,1,0,0,0,0,0,1
200,24.0,13.0,2,0,1,1,1.0,3,2.0,0,0,0,1,0,1,0
577,34.0,13.0,2,0,1,1,1.0,3,2.0,0,0,0,1,0,1,0
829,28.0,7.75,3,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
665,20.0,7.925,2,1,2,0,2.0,3,2.0,0,0,0,1,1,0,0
261,28.0,7.75,3,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
596,36.0,24.15,2,1,3,0,3.0,3,2.0,0,0,0,1,1,0,0
354,25.0,17.8,2,1,2,0,2.0,3,2.0,0,0,0,1,1,0,0
364,35.0,7.05,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
68,19.0,8.1583,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
501,17.0,8.6625,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
20,28.0,7.225,1,0,1,1,1.0,3,2.0,0,0,0,1,1,0,0
196,58.0,146.5208,1,0,1,1,1.0,0,3.0,1,0,0,0,0,0,1
868,31.0,50.4958,2,1,1,1,1.0,2,2.0,0,1,0,0,0,0,1
582,39.0,110.8833,1,0,3,0,3.0,1,2.0,0,0,1,0,0,0,1
312,18.0,262.375,1,0,5,0,3.0,0,2.0,1,0,0,0,0,0,1
428,19.0,26.0,2,0,1,1,1.0,3,2.0,0,0,0,1,0,1,0
764,36.0,120.0,2,0,4,0,3.0,0,2.0,1,0,0,0,0,0,1
150,42.0,13.0,2,1,1,1,1.0,3,3.0,0,0,0,1,0,1,0
809,39.0,13.0,2,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
360,28.0,7.8792,3,0,1,1,1.0,3,2.0,0,0,0,1,1,0,0
65,28.0,27.7208,1,1,1,1,1.0,3,2.0,0,0,0,1,0,0,1
448,34.0,26.55,2,1,1,1,1.0,3,2.0,0,0,0,1,0,0,1
652,18.0,23.0,2,0,2,0,2.0,3,2.0,0,0,0,1,0,1,0
454,49.0,89.1042,1,1,2,0,2.0,1,3.0,0,0,1,0,0,0,1
178,50.0,28.7125,1,0,1,1,1.0,1,3.0,0,0,1,0,0,0,1
154,40.5,14.5,2,1,3,0,3.0,3,3.0,0,0,0,1,1,0,0
180,36.0,0.0,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
51,7.0,39.6875,2,1,6,0,3.0,3,1.0,0,0,0,1,1,0,0
282,28.0,7.8542,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
469,28.0,7.725,3,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
636,28.0,13.0,2,0,1,1,1.0,3,2.0,0,0,0,1,0,1,0
271,28.0,31.0,2,1,1,1,1.0,3,2.0,0,0,0,1,0,0,1
741,28.0,30.0,2,1,1,1,1.0,0,2.0,1,0,0,0,0,0,1
110,28.0,24.15,3,0,2,0,2.0,3,2.0,0,0,0,1,1,0,0
526,40.5,7.75,3,1,1,1,1.0,3,3.0,0,0,0,1,1,0,0
212,35.0,21.0,2,0,1,1,1.0,3,2.0,0,0,0,1,0,1,0
49,28.0,21.6792,1,1,3,0,3.0,3,2.0,0,0,0,1,1,0,0
4,35.0,53.1,2,0,2,0,2.0,1,2.0,0,0,1,0,0,0,1
776,18.0,7.75,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
265,28.0,7.75,3,0,1,1,1.0,3,2.0,0,0,0,1,1,0,0
277,45.0,7.75,2,0,1,1,1.0,3,3.0,0,0,0,1,1,0,0
239,19.0,10.5,2,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
550,8.0,36.75,2,1,3,0,3.0,3,1.0,0,0,0,1,0,1,0
331,28.0,23.25,3,0,3,0,3.0,3,2.0,0,0,0,1,1,0,0
349,3.0,15.9,2,1,3,0,3.0,3,1.0,0,0,0,1,1,0,0
126,12.0,11.2417,1,1,2,0,2.0,3,1.0,0,0,0,1,1,0,0
871,26.0,7.8958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
775,54.0,23.0,2,0,5,0,3.0,3,3.0,0,0,0,1,0,1,0
387,1.0,46.9,2,1,8,0,3.0,3,1.0,0,0,0,1,1,0,0
551,17.0,110.8833,1,1,3,0,3.0,1,2.0,0,0,1,0,0,0,1
340,45.0,35.5,2,1,1,1,1.0,2,3.0,0,1,0,0,0,0,1
530,23.0,11.5,2,1,4,0,3.0,3,2.0,0,0,0,1,0,1,0
525,28.0,7.2292,1,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
379,20.0,4.0125,1,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
712,28.0,26.55,2,1,1,1,1.0,1,2.0,0,0,1,0,0,0,1
440,31.0,10.5,2,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
806,31.0,7.775,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
529,39.0,7.925,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
358,38.0,13.0,2,0,1,1,1.0,3,2.0,0,0,0,1,0,1,0
736,28.5,16.1,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
176,18.0,7.8542,2,1,3,0,3.0,3,2.0,0,0,0,1,1,0,0
418,18.0,13.0,2,0,3,0,3.0,3,2.0,0,0,0,1,0,1,0
21,35.0,26.0,2,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
675,28.0,0.0,2,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
186,28.0,50.0,2,1,1,1,1.0,2,2.0,0,1,0,0,0,0,1
805,27.0,6.975,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
666,32.0,73.5,2,1,3,0,3.0,3,2.0,0,0,0,1,0,1,0
816,28.0,0.0,2,1,1,1,1.0,0,2.0,1,0,0,0,0,0,1
37,28.0,7.2292,1,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
542,9.0,31.275,2,0,7,0,3.0,3,1.0,0,0,0,1,1,0,0
281,65.0,7.75,3,1,1,1,1.0,3,4.0,0,0,0,1,1,0,0
449,5.0,19.2583,1,0,4,0,3.0,3,1.0,0,0,0,1,1,0,0
811,26.0,7.8875,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
397,31.0,7.8542,2,0,1,1,1.0,3,2.0,0,0,0,1,1,0,0
629,26.0,7.8958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
442,20.0,9.5,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
624,21.0,7.8542,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
642,24.0,69.3,1,0,1,1,1.0,0,2.0,1,0,0,0,0,0,1
335,28.0,133.65,2,0,2,0,2.0,3,2.0,0,0,0,1,0,0,1
260,50.0,26.0,2,0,2,0,2.0,3,3.0,0,0,0,1,0,1,0
182,28.0,15.05,1,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
846,42.0,7.55,2,1,1,1,1.0,3,3.0,0,0,0,1,1,0,0
252,29.0,10.4625,2,0,3,0,3.0,2,2.0,0,1,0,0,1,0,0
889,28.0,23.45,2,0,4,0,3.0,3,2.0,0,0,0,1,1,0,0
610,40.0,153.4625,2,0,1,1,1.0,1,2.0,0,0,1,0,0,0,1
92,20.0,7.8542,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
147,27.0,7.7958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
258,30.0,86.5,2,0,1,1,1.0,0,2.0,1,0,0,0,0,0,1
721,6.0,33.0,2,0,2,0,2.0,3,1.0,0,0,0,1,0,1,0
190,36.0,7.8958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
731,29.0,211.3375,2,0,1,1,1.0,0,2.0,1,0,0,0,0,0,1
350,42.0,8.6625,2,1,1,1,1.0,3,3.0,0,0,0,1,1,0,0
586,18.0,79.65,2,0,3,0,3.0,0,2.0,1,0,0,0,0,0,1
598,49.0,0.0,2,1,1,1,1.0,3,3.0,0,0,0,1,1,0,0
111,47.0,52.0,2,1,1,1,1.0,1,3.0,0,0,1,0,0,0,1
164,17.0,8.6625,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
411,28.0,7.8958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
611,39.0,31.275,2,0,7,0,3.0,3,2.0,0,0,0,1,1,0,0
461,48.0,26.55,2,1,1,1,1.0,0,3.0,1,0,0,0,0,0,1
425,18.0,20.2125,2,1,3,0,3.0,3,2.0,0,0,0,1,1,0,0
670,28.0,52.0,2,0,2,0,2.0,1,2.0,0,0,1,0,0,0,1
795,25.0,7.8958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
318,54.0,14.0,2,1,1,1,1.0,3,3.0,0,0,0,1,0,1,0
453,30.0,27.75,1,1,1,1,1.0,1,2.0,0,0,1,0,0,0,1
267,16.0,39.6875,2,1,6,0,3.0,3,1.0,0,0,0,1,1,0,0
749,19.0,53.1,2,1,2,0,2.0,0,2.0,1,0,0,0,0,0,1
202,28.0,69.55,2,1,11,0,3.0,3,2.0,0,0,0,1,1,0,0
199,28.0,7.75,3,0,1,1,1.0,3,2.0,0,0,0,1,1,0,0
703,18.0,14.4542,1,0,2,0,2.0,3,2.0,0,0,0,1,1,0,0
859,24.0,19.2583,1,0,4,0,3.0,3,2.0,0,0,0,1,1,0,0
256,29.0,15.2458,1,0,3,0,3.0,3,2.0,0,0,0,1,1,0,0
438,24.0,18.75,2,0,6,0,3.0,3,2.0,0,0,0,1,0,1,0
434,17.0,7.125,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
482,28.0,0.0,2,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
823,38.0,0.0,2,1,1,1,1.0,3,2.0,0,0,0,1,0,0,1
717,38.0,227.525,1,0,1,1,1.0,1,2.0,0,0,1,0,0,0,1
585,28.0,8.7125,1,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
406,34.0,21.0,2,1,2,0,2.0,3,2.0,0,0,0,1,0,1,0
772,48.0,7.8542,2,1,1,1,1.0,3,3.0,0,0,0,1,1,0,0
685,60.0,39.0,2,1,3,0,3.0,3,4.0,0,0,0,1,0,1,0
304,28.0,12.35,3,0,1,1,1.0,0,2.0,1,0,0,0,0,1,0
564,28.0,8.05,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
768,30.5,7.75,3,0,1,1,1.0,3,2.0,0,0,0,1,1,0,0
57,21.0,10.5,2,0,1,1,1.0,3,2.0,0,0,0,1,0,1,0
187,28.0,15.5,3,0,2,0,2.0,3,2.0,0,0,0,1,1,0,0
879,28.0,7.8958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
754,23.0,7.8958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
495,21.0,8.05,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
597,28.0,33.0,2,0,1,1,1.0,3,2.0,0,0,0,1,0,1,0
509,28.0,22.525,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
359,28.0,7.8792,3,0,1,1,1.0,3,2.0,0,0,0,1,1,0,0
249,37.0,52.5542,2,1,3,0,3.0,0,2.0,1,0,0,0,0,0,1
309,30.0,24.0,1,1,2,0,2.0,3,2.0,0,0,0,1,0,1,0
831,15.0,14.4542,1,0,2,0,2.0,3,1.0,0,0,0,1,1,0,0
589,22.0,8.05,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
386,18.0,73.5,2,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
237,44.0,26.0,2,1,2,0,2.0,3,3.0,0,0,0,1,0,1,0
419,30.0,13.0,2,1,1,1,1.0,3,2.0,0,0,0,1,0,1,0
380,19.0,7.775,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
55,65.0,61.9792,1,1,2,0,2.0,0,4.0,1,0,0,0,0,0,1
878,19.0,7.8958,2,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
600,49.0,56.9292,1,1,2,0,2.0,2,3.0,0,1,0,0,0,0,1
626,61.0,32.3208,2,1,1,1,1.0,0,4.0,1,0,0,0,0,0,1
844,34.5,6.4375,1,1,1,1,1.0,3,2.0,0,0,0,1,1,0,0
